Course,Section,Time,Location,Enrollment,Classification,Day
CHMS 5010,L1,Tu 07:00PM - 09:50PM,Lecture Theater K (106),100,Lecture Theater K,Tu
CHMS 5020,L1,Mo 01:30PM - 04:20PM,"Rm 2502, Lift 25-26 (120)",97,Lift 25-26,Mo
CHMS 5030,L1,Th 07:00PM - 09:50PM,"Rm 4621, Lift 31-32 (126)",97,Lift 31-32,Th
CHMS 5040,L1,We 07:00PM - 09:50PM,Lecture Theater K (106),104,Lecture Theater K,We
CHMS 5201,T1,Sa 10:00AM - 10:50AM,TBA,98,TBA,Sa
CHMS 5201,LA1,Sa 11:00AM - 04:50PM,TBA,98,TBA,Sa
CHMS 5202,T1,Sa 10:00AM - 10:50AM,TBA,1,TBA,Sa
CHMS 5202,LA1,Sa 11:00AM - 04:50PM,TBA,1,TBA,Sa
CHMS 6980,R1,TBA,TBA,5,TBA,TBA
CIEM 5140,L1,"09-SEP-2023 - 25-NOV-2023
Sa 03:00PM - 05:50PM","Rm 2306, Lift 17-18 (111)",88,Lift 17-18,Sa
CIEM 5170,L1,We 07:00PM - 09:50PM,"Rm 3207, Lift 21",65,Lift 21,We
CIEM 5170,L2,"02-SEP-2023 - 02-SEP-2023
Sa 09:30AM - 12:20PM","Rm 6591, Lift 31-32 (88)",64,Lift 31-32,Sa
CIEM 5311,L1,Mo 07:00PM - 09:50PM,"Rm 6573, Lift 29-30 (88)",19,Lift 29-30,Mo
CIEM 5380,L1,Sa 03:00PM - 05:50PM,"Rm 2503, Lift 25-26 (87)",62,Lift 25-26,Sa
CIEM 5390,L1,Mo 07:00PM - 09:50PM,"Rm 2464, Lift 25-26 (122)",17,Lift 25-26,Mo
CIEM 5410,L1,Fr 07:00PM - 09:50PM,"Rm 2407, Lift 17-18 (126)",2,Lift 17-18,Fr
CIEM 5460,L1,Tu 07:00PM - 09:50PM,"Rm 5583, Lift 29-30 (80)",6,Lift 29-30,Tu
CIEM 5480,L1,Th 07:00PM - 09:50PM,"Rm 5583, Lift 29-30 (80)",5,Lift 29-30,Th
CIEM 5630,L1,Th 07:00PM - 09:50PM,"Rm 2304, Lift 17-18 (76)",31,Lift 17-18,Th
CIEM 5720,L1,Tu 07:00PM - 09:50PM,"Rm 4619, Lift 31-32 (126)",88,Lift 31-32,Tu
CIEM 5740,L1,"15-SEP-2023 - 15-SEP-2023
Fr 07:00PM - 09:50PM","Rm 3207, Lift 21",56,Lift 21,Fr
CIEM 5770,L1,Th 07:00PM - 09:50PM,"Rm 2406, Lift 17-18 (76)",23,Lift 17-18,Th
CIEM 6980,R1,TBA,TBA,158,TBA,TBA
CIVL 1010,T1,Mo 06:00PM - 07:20PM,Lecture Theater B (317),178,Lecture Theater B,Mo
